1 Штурмовик 910 1000 3 5 70 авиабомбы
2 Бомбардировщик 800 1500 4 7 90 бомбы,пушки
3 Бомбардировщик 750 1200 3 6 80 ракеты
4 Разведчик 1000 2000 2 3 60 камеры
5 Истребитель 1200 1500 2 1 50 пушки,ракеты
6 Истребитель 1300 1800 3 2 55 пушки,ракеты
7 Штурмовик 700 1100 3 4 65 ракеты,пушки
8 Бомбардировщик 850 1400 4 6 85 бомбы
9 Штурмовик 750 900 2 3 60 авиабомбы,пушки
10 Разведчик 1100 1900 2 4 70 камеры
11 Истребитель 1250 1600 2 1 55 пушки,ракеты
12 Штурмовик 980 950 3 5 65 авиабомбы,пушки
13 Бомбардировщик 820 1300 4 7 95 бомбы,пушки
14 Бомбардировщик 760 1250 3 6 75 ракеты,пушки
15 Истребитель 1220 1550 2 1 51 пушки,ракеты
16 Истребитель 1320 1850 3 2 56 пушки,ракеты
17 Штурмовик 720 1150 3 4 68 ракеты,пушки
18 Бомбардировщик 860 1450 4 6 88 бомбы
19 Штурмовик 760 1000 3 5 70 авиабомбы
20 Бомбардировщик 890 1500 4 7 90 бомбы,пушки
21 Бомбардировщик 760 1200 3 6 80 ракеты
22 Разведчик 1200 2120 4 5 64 камеры,ракеты
23 Истребитель 1400 1540 3 1 50 пушки,ракеты
24 Истребитель 2300 1890 2 2 55 пушки,ракеты
25 Штурмовик 900 1100 3 4 65 ракеты,пушки
26 Бомбардировщик 750 1600 7 6 85 бомбы
27 Штурмовик 950 900 2 3 60 авиабомбы,пушки
28 Разведчик 1100 1900 2 4 70 камеры,пушки
29 Истребитель 1250 1600 2 1 55 пушки,ракеты
30 Штурмовик 880 950 3 5 65 авиабомбы,бомбы
31 Бомбардировщик 820 1300 4 7 95 бомбы,пушки
32 Бомбардировщик 760 1250 3 7 78 бомбы
33 Истребитель 1620 1650 1 2 56 пушки,ракеты
34 Истребитель 1520 1950 2 2 56 пушки
35 Штурмовик 820 1150 3 4 68 пушки
36 Бомбардировщик 880 1450 4 6 88 бомбы,авиабомбы
